Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2024,476.95,483.05,475.40,480.05,479.541560639191164874,234609,5409,112504766.00,61834,26.36,7.65,3.10
27-March-2024,481.95,481.95,471.40,472.20,476.296149290010922908,260004,5474,123838904.00,107431,41.32,10.55,-9.75
26-March-2024,487.05,490.75,479.05,479.75,483.512963163290011178,194127,5189,93862921.00,75600,38.94,11.70,-7.30
22-March-2024,488.05,490.45,479.45,487.05,485.794249327243491540,842058,24762,409066934.00,238342,28.30,11.00,-1.00
21-March-2024,500.00,505.25,498.45,500.70,502.632299921912641844,361134,10610,181517613.00,223340,61.84,6.80,0.70
20-March-2024,495.25,501.40,489.40,493.60,494.697027789093639420,125193,3391,61932605.00,27934,22.31,12.00,-1.65
19-March-2024,509.90,509.90,493.00,494.80,500.129910217543902670,326233,11780,163158881.00,157172,48.18,16.90,-15.10
18-March-2024,517.45,517.60,509.00,510.35,512.876276501648395829,74618,2505,38269802.00,24968,33.46,8.60,-7.10
15-March-2024,515.90,518.00,506.30,516.80,514.343572348150612605,276524,7188,142228342.00,103287,37.35,11.70,0.90
14-March-2024,502.45,518.85,495.05,517.60,509.782577559360340591,152206,4013,77591967.00,44462,29.21,23.80,15.15
13-March-2024,513.50,518.50,497.00,504.35,506.058667079815116068,232362,6491,117588804.00,78760,33.90,21.50,-9.15
12-March-2024,513.00,522.45,508.00,510.65,513.675743378569191957,169261,4703,86945270.00,44980,26.57,14.45,-2.35
11-March-2024,516.25,518.75,512.30,514.40,515.614305592646211365,355735,10670,183422055.00,192307,54.06,6.45,-1.85
7-March-2024,514.95,520.20,510.30,515.85,515.932397047194692905,211189,6762,108959247.00,48580,23.00,9.90,0.90
6-March-2024,513.05,515.00,500.00,513.05,506.664774138893074896,491054,13941,248799764.00,264225,53.81,15.00,0.00
5-March-2024,517.15,520.50,510.60,513.30,515.124680000547592645,146094,3586,75256625.00,43296,29.64,9.90,-3.85
4-March-2024,522.30,526.25,519.00,520.25,521.989387196165696679,108077,2583,56415047.00,37837,35.01,7.25,-2.05
2-March-2024,523.50,524.55,522.05,522.65,522.825365491361113282,51164,2381,26749837.00,45583,89.09,2.50,-0.85
1-March-2024,523.95,525.00,517.35,519.15,519.394921484931177425,681971,18586,354212274.00,412739,60.52,7.65,-4.80
