Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-May-2023,1271.80,1275.50,1262.35,1273.55,1270.994009086999194962,362716,18188,461009863.00,206716,56.99,13.15,1.75
3-May-2023,1269.90,1272.50,1262.20,1269.35,1268.842625369794933539,416109,19393,527976836.00,268678,64.57,10.30,-0.55
2-May-2023,1254.95,1279.75,1254.95,1277.65,1270.933155906683361536,190877,8580,242591908.00,82849,43.40,24.80,22.70
28-April-2023,1255.00,1259.20,1245.10,1252.55,1252.339949227886971077,451035,25340,564849149.00,244153,54.13,14.10,-2.45
27-April-2023,1228.05,1248.60,1225.30,1246.55,1237.469933460992712394,145178,7243,179653410.00,68126,46.93,23.30,18.50
26-April-2023,1227.50,1233.00,1220.75,1227.50,1227.169684157803246810,135764,7587,166605465.00,84643,62.35,12.25,0.00
25-April-2023,1226.30,1235.00,1215.45,1224.55,1226.473817149882373603,432726,31804,530727109.00,238541,55.13,19.55,-1.75
24-April-2023,1230.00,1231.00,1218.05,1226.30,1223.127502588414800283,367020,26723,448912256.00,195559,53.28,12.95,-3.70
21-April-2023,1227.00,1233.45,1220.00,1227.45,1226.908758260201003415,561881,34362,689376720.00,402007,71.55,13.45,0.45
20-April-2023,1232.00,1237.90,1221.85,1223.85,1227.765819920789317904,731467,52016,898070181.00,495760,67.78,16.05,-8.15
19-April-2023,1257.60,1257.60,1230.00,1232.20,1239.046420226103827170,819535,62302,1015441908.00,571804,69.77,27.60,-25.40
18-April-2023,1266.30,1274.30,1252.85,1260.95,1260.989312205106256665,579446,27224,730675213.00,365492,63.08,21.45,-5.35
17-April-2023,1249.75,1300.00,1219.00,1258.10,1240.433975278390533102,1697705,69387,2105890962.00,843465,49.68,81.00,8.35
13-April-2023,1413.00,1413.00,1383.60,1388.60,1393.808314121840761594,609878,44382,850053027.00,426682,69.96,29.40,-24.40
12-April-2023,1412.00,1431.55,1400.00,1428.45,1417.964743249965342618,245258,12805,347767197.00,126314,51.50,31.55,16.45
11-April-2023,1430.75,1433.05,1389.00,1407.05,1402.129186615347706814,383484,10470,537694109.00,246919,64.39,44.05,-23.70
10-April-2023,1422.00,1433.95,1414.20,1427.30,1429.085303521171691679,282122,12773,403176404.00,149665,53.05,19.75,5.30
6-April-2023,1423.30,1427.95,1410.50,1422.10,1420.216043765572527353,92310,6657,131100143.00,38881,42.12,17.45,-1.20
5-April-2023,1396.00,1427.00,1396.00,1423.35,1419.710065162793854786,176788,12937,250987703.00,98472,55.70,31.00,27.35
3-April-2023,1431.05,1438.00,1405.35,1410.95,1413.574471077358507150,113769,6714,160820954.00,56411,49.58,32.65,-20.10
