Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2024,1547.40,1560.95,1531.05,1543.30,1543.563851774883952067,88541,6390,136668687.00,30674,34.64,29.90,-4.10
27-March-2024,1567.05,1576.50,1540.10,1547.25,1565.172171517938423472,42841,3492,67053541.00,19394,45.27,36.40,-19.80
26-March-2024,1531.30,1592.45,1531.30,1563.20,1564.068009847110650427,77180,4517,120714769.00,40237,52.13,61.15,31.90
22-March-2024,1555.65,1567.50,1507.50,1558.05,1537.991148294801379486,234870,18691,361227981.00,99729,42.46,60.00,2.40
21-March-2024,1600.45,1618.90,1584.65,1597.30,1602.043503920411432425,11861,1057,19001838.00,4797,40.44,34.25,-3.15
20-March-2024,1603.05,1618.70,1578.10,1586.65,1597.575912168516080496,42536,1812,67954489.00,24293,57.11,40.60,-16.40
19-March-2024,1654.95,1654.95,1595.00,1598.95,1612.069855715363684174,43733,6401,70500651.00,28940,66.17,59.95,-56.00
18-March-2024,1648.30,1662.65,1634.20,1641.95,1654.926225589349417086,54382,3101,89998198.00,29524,54.29,28.45,-6.35
15-March-2024,1678.95,1678.95,1642.90,1647.60,1656.544243332474769944,42707,5308,70746035.00,15309,35.85,36.05,-31.35
14-March-2024,1630.05,1683.00,1612.85,1679.65,1655.896397609712786440,100239,3160,165985399.00,76765,76.58,70.15,49.60
13-March-2024,1636.35,1650.25,1611.00,1631.40,1628.889269154338706116,18116,1803,29508958.00,9868,54.47,39.25,-4.95
12-March-2024,1637.90,1665.00,1633.45,1635.00,1644.670809312401570594,140329,4642,230795010.00,114765,81.78,31.55,-2.90
11-March-2024,1652.75,1659.60,1633.80,1638.60,1647.413375905839633125,63891,2230,105254888.00,43794,68.54,25.80,-14.15
7-March-2024,1645.30,1653.70,1630.40,1637.05,1638.280900376679597458,142296,9342,233120819.00,98206,69.02,23.30,-8.25
6-March-2024,1609.10,1649.00,1603.35,1644.25,1620.040377848174609639,871567,6011,1411973732.00,822270,94.34,45.65,35.15
5-March-2024,1613.25,1629.95,1608.00,1619.65,1619.191492990846089214,158293,5685,256306679.00,99393,62.79,21.95,6.40
4-March-2024,1663.45,1663.45,1634.20,1636.85,1643.097187220245394157,132929,7546,218415266.00,106974,80.47,29.25,-26.60
2-March-2024,1655.00,1668.00,1637.00,1646.35,1648.974471945056369055,7717,797,12725136.00,5421,70.25,31.00,-8.65
1-March-2024,1679.95,1679.95,1639.65,1644.45,1654.784207510341493114,111686,8415,184816229.00,76595,68.58,40.30,-35.50
29-February-2024,1641.05,1678.40,1636.30,1667.15,1658.956767234114276082,11866,1296,19685181.00,4099,34.54,42.10,26.10
28-February-2024,1663.00,1671.50,1643.55,1650.50,1654.261972409543696299,29213,2957,48325955.00,14414,49.34,27.95,-12.50
27-February-2024,1649.60,1673.00,1649.60,1659.55,1664.536290847545892461,30724,3262,51141213.00,21972,71.51,23.40,9.95
26-February-2024,1662.35,1664.35,1640.00,1649.60,1650.809695463020509633,16090,1166,26561528.00,6661,41.40,24.35,-12.75
23-February-2024,1694.25,1696.50,1662.85,1665.70,1680.477296338325315262,62567,6188,105142423.00,21676,34.64,33.65,-28.55
